name;model;price;country;mileage;registration;transmission;power;fueltype;Automat;Benzín;Diesel;Elektřina;Hybrid;LPG
Skoda Enyaq iV 60 132 kW;Enyaq iV;986990;Francie;2000;2021;Automat;132;Elektřina;1;0;0;1;0;0
Skoda Scala Style 110 kW;Scala;572490;Německo;30616;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1033990;Německo;27600;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Rapid 70 kW;Rapid;286990;Polsko;25147;2018;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;572490;Německo;9999;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Octavia 1.2 TSI 63 kW;Octavia;290990;Německo;54000;2017;Manuál;63;Benzín;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;752490;Německo;25687;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Rapid 70 kW;Rapid;271490;Německo;65669;2017;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;970490;Německo;22300;2020;Automat;140;Benzín;1;1;0;0;0;0
Skoda Rapid 70 kW;Rapid;265490;Polsko;64720;2018;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Rapid 66 kW;Rapid;202490;Polsko;140418;2017;Manuál;66;Diesel;0;0;1;0;0;0
Skoda Scala 1.5 TSI DSG Style 110 kW;Scala;542490;Slovensko;25401;2019;Automat;110;Benzín;1;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;685490;Slovensko;20000;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Scala 110 kW;Scala;685990;Německo;19900;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1164990;Německo;1679;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Yeti 1.2 TSI Ambition 77 kW;Yeti;213490;Německo;106000;2013;Manuál;77;Benzín;0;1;0;0;0;0
Skoda Scala Ambition 110 kW;Scala;506990;Německo;11707;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Enyaq iV 80 150 kW;Enyaq iV;1258990;Francie;5000;2021;Automat;150;Elektřina;1;0;0;1;0;0
Skoda Fabia 1.0 TSI 70 kW;Fabia;372490;Francie;8185;2021;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Yeti 1.2 TSI 77 kW;Yeti;225490;Německo;99900;2013;Manuál;77;Benzín;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1033990;Německo;22760;2021;Automat;147;Diesel;1;0;1;0;0;0
