name;model;price;country;mileage;registration;transmission;power;fueltype;Automat;Benzín;CNG;Diesel;Elektřina;Hybrid;LPG;Ostatní paliva
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;773490;Německo;9912;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Enyaq iV 60 Sportline 132 kW;Enyaq iV;1132490;Francie;1000;2021;Automat;132;Elektřina;1;0;0;0;1;0;0;0
Skoda Scala 110 kW;Scala;649990;Německo;17233;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 147 kW;Superb;1087990;Německo;20544;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;598490;Německo;8806;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 2.0 TSI 4x4 DSG L&K 200 kW;Superb;963990;Německo;2482;2020;Automat;200;Benzín;1;1;0;0;0;0;0;0
Skoda Kamiq 1.6 TDI Ambition 85 kW;Kamiq;592990;Španělsko;23999;2020;Manuál;85;Diesel;0;0;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1035990;Německo;495;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Kamiq 1.0 TSI Active 85 kW;Kamiq;471490;Německo;1882;2021;Manuál;85;Benzín;0;1;0;0;0;0;0;0
Skoda Kamiq 1.5 TSI DSG Style 110 kW;Kamiq;608990;Švédsko;14500;2020;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Scala 1.5 TSI DSG Style 110 kW;Scala;542490;Slovensko;25401;2019;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW;Kodiaq;1220990;Německo;22600;2020;Automat;176;Diesel;1;0;0;1;0;0;0;0
Skoda Octavia 150 kW;Octavia;804990;Itálie;2853;2021;Automat;150;Ostatní paliva;1;0;0;0;0;0;0;1
Skoda Rapid 1.6 TDI DSG 66 kW;Rapid;221990;Německo;132450;2014;Automat;66;Diesel;1;0;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;649990;Německo;14810;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 147 kW;Superb;1047990;Německo;28800;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;764990;Francie;500;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Scala Ambition 110 kW;Scala;726990;Německo;6000;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1035490;Německo;26525;2020;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW;Kodiaq;1293990;Německo;23064;2020;Automat;176;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;765490;Německo;25319;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Octavia 1.6 TDI Green Tec Ambition 85 kW;Octavia;393990;Německo;109000;2018;Manuál;85;Diesel;0;0;0;1;0;0;0;0
Skoda Yeti 1.4 TSI 90 kW;Yeti;343490;Německo;99550;2015;Manuál;90;Benzín;0;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;685490;Slovensko;20000;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;688990;Francie;14440;2020;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TDI DSG 110 kW;Kodiaq;660990;Francie;53540;2018;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Enyaq iV 60 132 kW;Enyaq iV;967490;Francie;7000;2021;Automat;132;Elektřina;1;0;0;0;1;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;765490;Německo;16900;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG Style 110 kW;Karoq;778490;Německo;11000;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
