links;name;price;seller;country;mileage;registration;transmission;power;fuel_type
https://carvago.com/cs/auto/48304837/skoda-rapid-70-kw;Skoda Rapid 1.2 TSI Green Tec Style 77 kW;245990;"Dealer

3(1 hodnocení)";Francie;42 100 km;2015;Manuál;77;Benzín
https://carvago.com/cs/auto/47919164/skoda-rapid-1-2-tsi-green-tec-style-77-kw;Skoda Citigo 1.0 MPI Tec 44 kW;224490;Dealer;Francie;24 992 km;2019;Manuál;44;Benzín
https://carvago.com/cs/auto/48285494/skoda-scala-110-kw;Skoda Karoq 1.0 TSI Ambition 85 kW;444490;Dealer;Francie;59 345 km;2018;Manuál;85;Benzín
https://carvago.com/cs/auto/47035228/skoda-superb-147-kw;Skoda Citigo 1.0 MPI Ambition 44 kW;171490;Dealer;Francie;73 073 km;2017;Manuál;44;Benzín
https://carvago.com/cs/auto/46204736/skoda-superb-2-0-tdi-110-kw;Skoda Scala 110 kW;499490;Dealer;Slovensko;6 200 km;2021;Manuál;110;Benzín
https://carvago.com/cs/auto/48000196/skoda-citigo-1-0-mpi-tec-44-kw;Skoda Rapid 81 kW;216990;Dealer;Polsko;151 366 km;2017;Manuál;81;Benzín
https://carvago.com/cs/auto/48318401/skoda-kodiaq-2-0-tsi-act-4x4-dsg-140-kw;Skoda Citigo 1.0 MPI 44 kW;139990;Dealer;Francie;85 100 km;2015;Manuál;44;Benzín
https://carvago.com/cs/auto/46729957/skoda-kodiaq-180-kw;Skoda Enyaq iV 80 150 kW;1164490;Dealer;Francie;1 000 km;2021;Automat;150;Elektřina
https://carvago.com/cs/auto/47156770/skoda-kamiq-1-6-tdi-dsg-85-kw;Skoda Superb 147 kW;1025990;"Dealer

4.5(12 hodnocení)";Německo;495 km;2021;Automat;147;Diesel
https://carvago.com/cs/auto/47801782/skoda-karoq-1-0-tsi-ambition-85-kw;Skoda Fabia 1.2 TSI 66 kW;180490;Dealer;Polsko;97 570 km;2016;Manuál;66;Benzín
https://carvago.com/cs/auto/44593683/skoda-citigo-1-0-mpi-tec-44-kw;Skoda Yeti 1.2 TSI 77 kW;185990;"Autobazar

4.9(153 hodnocení)";Německo;102 000 km;2013;Manuál;77;Benzín
https://carvago.com/cs/auto/47934402/skoda-karoq-1-5-tsi-act-dsg-110-kw;Skoda Karoq 1.5 TSI ACT DSG 110 kW;758490;"Dealer

4.6(10 hodnocení)";Německo;16 900 km;2021;Automat;110;Benzín
https://carvago.com/cs/auto/47949633/skoda-enyaq-iv-80-150-kw;Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;1000990;"Dealer

4.6(10 hodnocení)";Německo;6 500 km;2021;Automat;140;Benzín
https://carvago.com/cs/auto/47673124/skoda-citigo-1-0-mpi-ambition-44-kw;Skoda Rapid 70 kW;207490;"Dealer

4(9 hodnocení)";Německo;135 420 km;2017;Manuál;70;Benzín
https://carvago.com/cs/auto/46817166/skoda-rapid-81-kw;Skoda Kodiaq 180 kW;1253990;"Dealer

5(19 hodnocení)";Německo;4 898 km;2021;Automat;180;Benzín
https://carvago.com/cs/auto/46480034/skoda-scala-110-kw;Skoda Citigo 1.0 MPI Tec 44 kW;224490;Dealer;Francie;21 462 km;2019;Manuál;44;Benzín
https://carvago.com/cs/auto/41373983/skoda-octavia-2-0-tdi-tec-business-110-kw;Skoda Rapid 70 kW;284990;Dealer;Polsko;25 147 km;2018;Manuál;70;Benzín
https://carvago.com/cs/auto/48348898/skoda-rapid-70-kw;Skoda Scala 110 kW;522990;Dealer;Polsko;8 005 km;2021;Manuál;110;Benzín
https://carvago.com/cs/auto/47364233/skoda-yeti-1-2-tsi-77-kw;Skoda Enyaq iV 80 150 kW;1134490;Dealer;Francie;15 890 km;2021;Automat;150;Elektřina
https://carvago.com/cs/auto/47641842/skoda-kodiaq-180-kw;Skoda Superb Combi 2.0 TDI Green Tec Business Edition 110 kW;730490;Dealer;Francie;19 364 km;2021;Automat;110;Diesel
